risk_id,kredit_id,risk_skoru,risk_kateqoriyasi,ayliq_gelir_melumati,ish_tecrubesi_il,teminat_varmi,kredit_teminat_deyeri
45,45,725,Aşağı,4214.66,12,Xeyr,
46,46,700,Orta,3179.68,14,Bəli,8329.04
47,47,818,Aşağı,2623.27,24,Bəli,387582.47
48,48,419,Yüksək,641.49,5,Xeyr,
49,49,512,Orta,3991.44,16,Bəli,225660.97
50,50,689,Orta,2798.57,24,Bəli,51148.34
51,51,328,Yüksək,3945.87,4,Bəli,20804.68
52,52,530,Orta,2354.69,2,Bəli,153392.56
53,53,313,Yüksək,3262.83,18,Xeyr,
54,54,796,Aşağı,530.23,9,Bəli,29652.96
55,55,598,Orta,4508.97,26,Bəli,19053.84
56,56,798,Aşağı,1237.74,0,Xeyr,
57,57,472,Yüksək,2332.86,22,Bəli,12386.92
58,58,367,Yüksək,1264.71,7,Bəli,19589.1
59,59,429,Yüksək,3676.34,19,Bəli,12427.3
60,60,624,Orta,2353.7,8,Bəli,41036.57
61,61,762,Aşağı,4277.09,29,Xeyr,
62,62,811,Aşağı,1555.8,25,Xeyr,
63,63,518,Orta,2442.74,15,Bəli,353766.73
64,64,580,Orta,3098.41,5,Xeyr,
65,65,573,Orta,2303.59,30,Bəli,147572.86
66,66,553,Orta,4543.6,4,Xeyr,
67,67,491,Yüksək,935.29,10,Bəli,110789.3
68,68,329,Yüksək,4490.76,20,Xeyr,
69,69,668,Orta,2884.35,12,Bəli,28394.86
70,70,709,Aşağı,582.14,28,Xeyr,
71,71,667,Orta,1635.76,21,Bəli,3715.81
72,72,367,Yüksək,4165.51,17,Bəli,27739.64
73,73,538,Orta,1229.3,28,Bəli,24290.25
74,74,519,Orta,2943.08,4,Xeyr,
75,75,559,Orta,2933.87,10,Xeyr,
76,76,442,Yüksək,3467.69,7,Xeyr,
77,77,714,Aşağı,2821.12,0,Xeyr,
78,78,394,Yüksək,3286.11,1,Bəli,196948.09
79,79,714,Aşağı,3447.85,26,Bəli,24577.11
80,80,335,Yüksək,4282.88,24,Bəli,115430.24
81,81,327,Yüksək,2279.96,19,Xeyr,
82,82,362,Yüksək,1296.64,16,Xeyr,
83,83,509,Orta,4216.6,1,Bəli,18712.08
84,84,482,Yüksək,539.38,7,Xeyr,
85,85,637,Orta,4076.67,7,Xeyr,
86,86,801,Aşağı,2059.94,5,Bəli,31879.54
87,87,452,Yüksək,1886.59,5,Xeyr,
88,88,357,Yüksək,535.56,21,Bəli,72032.19
89,89,422,Yüksək,1051.76,22,Xeyr,
90,90,509,Orta,3734.96,25,Bəli,63879.54
91,91,459,Yüksək,2957.04,29,Xeyr,
92,92,615,Orta,1360.67,10,Xeyr,
93,93,624,Orta,1972.67,19,Bəli,243760.87
94,94,352,Yüksək,2459.93,4,Xeyr,
95,95,693,Orta,1947.76,22,Xeyr,
96,96,587,Orta,2555.15,27,Xeyr,
97,97,563,Orta,1494.36,29,Xeyr,
98,98,579,Orta,632.25,11,Bəli,134467.56
99,99,341,Yüksək,4274.1,27,Bəli,50852.35
100,100,704,Aşağı,3708.2,13,Xeyr,
101,101,813,Aşağı,3131.42,20,Xeyr,
102,102,346,Yüksək,858.23,22,Xeyr,
103,103,623,Orta,2621.5,4,Xeyr,
104,104,596,Orta,4227.21,5,Xeyr,
105,105,738,Aşağı,618.74,14,Xeyr,
106,106,626,Orta,859.99,11,Xeyr,
107,107,390,Yüksək,4021.47,5,Bəli,79252.52
108,108,848,Aşağı,3425.03,7,Xeyr,
109,109,487,Yüksək,2600.81,29,Bəli,22885.7
110,110,707,Aşağı,2983.79,24,Xeyr,
111,111,327,Yüksək,2270.6,17,Xeyr,
112,112,464,Yüksək,425.21,5,Bəli,40980.35
113,113,352,Yüksək,3507.13,2,Bəli,194734.38
114,114,462,Yüksək,1308.91,8,Xeyr,
115,115,352,Yüksək,1677.45,17,Xeyr,
116,116,392,Yüksək,2260.47,24,Bəli,107973.82
117,117,805,Aşağı,4039.37,2,Bəli,158853.0
118,118,497,Yüksək,4998.54,30,Bəli,68898.77
119,119,364,Yüksək,854.27,16,Bəli,253022.83
120,120,783,Aşağı,2839.33,10,Bəli,158237.82
121,121,607,Orta,1696.73,7,Bəli,252142.93
122,122,819,Aşağı,2487.85,27,Xeyr,
123,123,622,Orta,2604.71,20,Xeyr,
124,124,370,Yüksək,2356.36,8,Bəli,22634.15
125,125,675,Orta,1778.31,2,Bəli,18838.79
126,126,334,Yüksək,2735.98,20,Bəli,64518.21
127,127,732,Aşağı,3548.06,13,Bəli,22327.36
128,128,514,Orta,4832.53,15,Bəli,35726.92
129,129,424,Yüksək,2541.15,25,Xeyr,
130,130,758,Aşağı,2338.38,30,Bəli,570.46
131,131,677,Orta,2276.48,5,Bəli,292032.64
132,132,440,Yüksək,4901.18,28,Xeyr,
133,133,782,Aşağı,4497.32,17,Xeyr,
134,134,682,Orta,2505.14,10,Xeyr,
135,135,364,Yüksək,3606.34,6,Bəli,53874.62
136,136,447,Yüksək,1402.66,18,Bəli,61855.64
137,137,610,Orta,1194.74,29,Xeyr,
138,138,467,Yüksək,4674.82,28,Xeyr,
139,139,821,Aşağı,1907.24,18,Bəli,92863.68
140,140,839,Aşağı,1378.65,25,Xeyr,
141,141,595,Orta,1566.26,9,Bəli,52637.66
142,142,496,Yüksək,4039.27,29,Bəli,67674.77
143,143,697,Orta,1942.82,17,Bəli,33785.91
144,144,437,Yüksək,4374.42,7,Xeyr,
145,145,631,Orta,4794.24,18,Bəli,51550.8
146,146,563,Orta,1056.54,23,Bəli,182625.28
147,147,396,Yüksək,2832.67,29,Bəli,74855.87
148,148,631,Orta,4789.1,1,Bəli,8718.04
149,149,441,Yüksək,1022.3,1,Xeyr,
150,150,587,Orta,4334.29,29,Xeyr,
151,151,744,Aşağı,3663.61,21,Bəli,332868.7
152,152,548,Orta,4687.92,21,Bəli,23194.94
153,153,653,Orta,467.08,15,Xeyr,
154,154,682,Orta,2373.1,30,Xeyr,
155,155,655,Orta,803.2,10,Xeyr,
156,156,333,Yüksək,4063.81,11,Bəli,61685.1
157,157,564,Orta,545.09,13,Bəli,40457.59
158,158,785,Aşağı,1871.92,9,Xeyr,
159,159,719,Aşağı,2692.17,18,Bəli,38100.98
160,160,767,Aşağı,1204.38,15,Bəli,32674.06
161,161,666,Orta,2383.35,10,Xeyr,
162,162,787,Aşağı,616.53,10,Bəli,60290.9
163,163,552,Orta,2676.66,11,Xeyr,
164,164,813,Aşağı,4879.62,1,Xeyr,
165,165,677,Orta,1752.23,16,Bəli,77300.06
166,166,418,Yüksək,4551.31,20,Bəli,1635.26
167,167,575,Orta,2283.1,8,Bəli,202788.0
168,168,713,Aşağı,4586.22,14,Bəli,28952.12
169,169,332,Yüksək,3576.01,28,Bəli,200576.71
170,170,688,Orta,1435.48,27,Xeyr,
171,171,654,Orta,4584.71,13,Bəli,55576.87
172,172,633,Orta,437.97,5,Bəli,24110.86
173,173,359,Yüksək,1251.93,12,Bəli,7834.27
174,174,610,Orta,1412.31,30,Xeyr,
175,175,543,Orta,1006.12,22,Xeyr,
176,176,516,Orta,3266.81,16,Xeyr,
177,177,520,Orta,1352.32,17,Xeyr,
178,178,815,Aşağı,681.91,13,Bəli,39478.85
179,179,571,Orta,4295.82,17,Xeyr,
180,180,617,Orta,3552.93,15,Xeyr,
181,181,385,Yüksək,1127.11,19,Bəli,13650.53
182,182,340,Yüksək,2485.89,18,Xeyr,
183,183,846,Aşağı,3109.44,7,Xeyr,
184,184,524,Orta,2370.9,17,Bəli,6083.39
185,185,347,Yüksək,4716.46,8,Xeyr,
186,186,490,Yüksək,4294.46,0,Xeyr,
187,187,364,Yüksək,1393.41,1,Bəli,24480.74
188,188,724,Aşağı,4417.27,21,Xeyr,
189,189,430,Yüksək,1032.25,5,Bəli,180366.21
190,190,574,Orta,1443.6,26,Xeyr,
191,191,663,Orta,4412.64,14,Xeyr,
192,192,392,Yüksək,1591.75,24,Bəli,91091.51
193,193,808,Aşağı,831.7,23,Xeyr,
194,194,462,Yüksək,4075.64,19,Xeyr,
195,195,819,Aşağı,4764.02,7,Bəli,36547.04
196,196,833,Aşağı,1671.9,9,Xeyr,
197,197,525,Orta,611.44,4,Bəli,33091.76
198,198,674,Orta,604.37,12,Xeyr,
199,199,491,Yüksək,1274.1,0,Xeyr,
200,200,437,Yüksək,4441.99,9,Bəli,45226.2
201,201,452,Yüksək,614.54,23,Xeyr,
202,202,439,Yüksək,2656.12,2,Xeyr,
203,203,775,Aşağı,1429.96,11,Bəli,18672.99
204,204,788,Aşağı,3963.92,11,Bəli,157909.34
205,205,310,Yüksək,3895.12,27,Bəli,18082.57
206,206,376,Yüksək,4087.89,21,Bəli,72386.83
207,207,308,Yüksək,4622.86,12,Bəli,30078.03
208,208,391,Yüksək,4486.08,2,Bəli,48173.3
209,209,521,Orta,2351.73,24,Xeyr,
210,210,640,Orta,4781.71,24,Xeyr,
211,211,454,Yüksək,933.28,10,Xeyr,
212,212,319,Yüksək,528.33,12,Bəli,7573.87
213,213,788,Aşağı,3455.33,19,Xeyr,
214,214,491,Yüksək,3245.39,18,Bəli,7134.42
215,215,356,Yüksək,2044.75,14,Bəli,4799.52
216,216,681,Orta,3866.3,16,Xeyr,
217,217,644,Orta,2327.8,23,Bəli,65514.97
218,218,343,Yüksək,4653.37,25,Xeyr,
219,219,730,Aşağı,1839.83,10,Xeyr,
220,220,687,Orta,3155.39,23,Xeyr,
221,221,327,Yüksək,3800.41,23,Bəli,71148.22
222,222,545,Orta,3856.68,9,Bəli,106202.45
223,223,813,Aşağı,4193.09,20,Xeyr,
224,224,326,Yüksək,4398.86,6,Bəli,7414.38
225,225,481,Yüksək,4046.86,22,Bəli,22714.54
226,226,350,Yüksək,2599.38,13,Xeyr,
227,227,608,Orta,3138.33,28,Bəli,30095.15
228,228,556,Orta,4189.97,3,Xeyr,
229,229,553,Orta,914.15,19,Bəli,21108.48
230,230,675,Orta,3162.8,23,Xeyr,
231,231,535,Orta,4278.58,24,Bəli,65055.09
232,232,377,Yüksək,2240.32,13,Bəli,68991.14
233,233,821,Aşağı,3897.94,14,Xeyr,
234,234,816,Aşağı,2260.91,6,Bəli,65223.66
235,235,545,Orta,2681.43,26,Xeyr,
236,236,495,Yüksək,2274.85,14,Bəli,25372.74
237,237,319,Yüksək,3466.69,15,Bəli,37958.71
238,238,815,Aşağı,1705.18,1,Xeyr,
239,239,445,Yüksək,4053.65,24,Xeyr,
240,240,582,Orta,4994.11,5,Bəli,4453.35
241,241,662,Orta,964.21,30,Bəli,262142.62
242,242,830,Aşağı,1978.87,9,Xeyr,
243,243,461,Yüksək,3176.91,1,Bəli,4026.03
244,244,506,Orta,961.26,22,Xeyr,
245,245,733,Aşağı,660.25,3,Bəli,23308.56
246,246,619,Orta,4704.1,17,Xeyr,
247,247,336,Yüksək,4983.13,30,Xeyr,
248,248,597,Orta,684.14,1,Bəli,40485.33
249,249,505,Orta,652.79,5,Xeyr,
250,250,659,Orta,3380.34,18,Xeyr,
251,251,565,Orta,3629.66,1,Bəli,10190.23
252,252,652,Orta,3334.65,23,Xeyr,
253,253,813,Aşağı,2779.44,10,Xeyr,
254,254,330,Yüksək,4255.69,8,Bəli,18205.96
255,255,830,Aşağı,1517.38,24,Bəli,14535.72
256,256,435,Yüksək,4663.21,2,Xeyr,
257,257,612,Orta,3345.91,25,Bəli,92246.84
258,258,407,Yüksək,4699.28,16,Bəli,21258.17
259,259,793,Aşağı,2624.93,16,Bəli,11996.62
260,260,630,Orta,1439.25,13,Bəli,313317.38
261,261,736,Aşağı,475.12,21,Bəli,82079.0
262,262,585,Orta,2933.49,24,Bəli,42459.97
263,263,514,Orta,3042.03,11,Bəli,39461.17
264,264,324,Yüksək,2356.75,5,Bəli,51079.91
265,265,301,Yüksək,854.39,24,Bəli,14842.73
266,266,463,Yüksək,466.02,27,Bəli,4253.41
267,267,608,Orta,3552.8,17,Xeyr,
268,268,608,Orta,1265.41,21,Xeyr,
269,269,457,Yüksək,1535.93,4,Xeyr,
270,270,679,Orta,4306.23,26,Xeyr,
271,271,752,Aşağı,3540.79,23,Xeyr,
272,272,362,Yüksək,1987.6,6,Bəli,12965.86
273,273,586,Orta,4711.85,16,Xeyr,
274,274,416,Yüksək,1376.25,27,Xeyr,
275,275,441,Yüksək,3195.44,25,Bəli,12382.6
276,276,651,Orta,1790.98,16,Xeyr,
277,277,470,Yüksək,516.43,24,Xeyr,
278,278,696,Orta,2683.68,9,Bəli,1545.33
279,279,600,Orta,1359.45,6,Bəli,24341.33
280,280,455,Yüksək,3420.83,15,Xeyr,
281,281,444,Yüksək,4757.44,23,Bəli,30649.64
282,282,654,Orta,2991.77,3,Bəli,55561.63
283,283,346,Yüksək,4199.53,10,Bəli,15450.44
284,284,731,Aşağı,3605.07,15,Bəli,78466.48
285,285,521,Orta,2345.36,9,Xeyr,
286,286,757,Aşağı,3721.47,15,Xeyr,
287,287,483,Yüksək,900.23,14,Bəli,39107.94
288,288,828,Aşağı,1583.52,5,Xeyr,
289,289,318,Yüksək,3084.56,16,Xeyr,
290,290,549,Orta,3464.81,23,Bəli,47608.07
291,291,642,Orta,2313.37,23,Bəli,13263.34
292,292,402,Yüksək,3890.23,20,Bəli,146015.4
293,293,393,Yüksək,2682.79,3,Xeyr,
294,294,502,Orta,3498.2,13,Xeyr,
295,295,601,Orta,3022.68,0,Xeyr,
296,296,415,Yüksək,4260.51,6,Xeyr,
297,297,585,Orta,4297.1,2,Bəli,188979.79
298,298,439,Yüksək,3533.97,25,Xeyr,
299,299,845,Aşağı,4732.12,24,Bəli,48285.98
300,300,692,Orta,4151.55,22,Xeyr,
301,301,819,Aşağı,3228.33,1,Bəli,22654.61
302,302,484,Yüksək,4999.84,18,Bəli,5988.48
303,303,793,Aşağı,2771.52,24,Bəli,10653.28
304,304,574,Orta,3811.67,3,Bəli,41704.37
305,305,560,Orta,3272.05,17,Bəli,21713.92
306,306,822,Aşağı,2006.18,9,Bəli,22950.59
307,307,820,Aşağı,4491.12,20,Xeyr,
308,308,630,Orta,3153.14,4,Bəli,183776.29
309,309,773,Aşağı,3207.5,15,Bəli,11719.98
310,310,730,Aşağı,3757.22,21,Bəli,27353.4
311,311,407,Yüksək,1170.53,1,Xeyr,
312,312,832,Aşağı,2476.11,27,Bəli,160812.27
313,313,685,Orta,2887.56,3,Xeyr,
314,314,359,Yüksək,2339.49,8,Xeyr,
315,315,805,Aşağı,4365.18,8,Bəli,26593.32
316,316,383,Yüksək,1795.31,21,Xeyr,
317,317,570,Orta,2706.56,12,Bəli,13483.27
318,318,481,Yüksək,1387.17,24,Xeyr,
319,319,574,Orta,4508.35,24,Bəli,44978.34
320,320,315,Yüksək,4848.3,10,Bəli,13103.36
321,321,731,Aşağı,2153.28,25,Bəli,19391.14
322,322,485,Yüksək,1490.46,9,Xeyr,
323,323,532,Orta,2771.25,6,Xeyr,
324,324,347,Yüksək,798.93,15,Xeyr,
325,325,531,Orta,3793.43,11,Bəli,36312.91
326,326,559,Orta,1331.97,24,Xeyr,
327,327,329,Yüksək,1537.09,2,Bəli,42114.97
328,328,463,Yüksək,4467.01,15,Bəli,633.05
329,329,766,Aşağı,4676.23,8,Xeyr,
330,330,633,Orta,1243.76,2,Xeyr,
331,331,415,Yüksək,4054.17,21,Xeyr,
332,332,777,Aşağı,2133.27,4,Bəli,9282.04
333,333,524,Orta,4384.13,9,Bəli,15206.22
334,334,494,Yüksək,678.63,21,Xeyr,
335,335,671,Orta,1043.23,4,Bəli,77153.76
336,336,434,Yüksək,1336.94,16,Bəli,20432.61
337,337,746,Aşağı,450.2,15,Xeyr,
338,338,583,Orta,1487.25,20,Xeyr,
339,339,787,Aşağı,1709.89,12,Xeyr,
340,340,510,Orta,2774.84,5,Bəli,48401.71
341,341,768,Aşağı,4744.24,25,Bəli,8637.82
342,342,590,Orta,3671.14,10,Bəli,9869.15
343,343,617,Orta,1768.55,30,Xeyr,
344,344,793,Aşağı,4606.46,22,Xeyr,
345,345,657,Orta,3270.37,23,Xeyr,
346,346,729,Aşağı,4815.28,4,Xeyr,
347,347,304,Yüksək,3426.04,20,Xeyr,
348,348,510,Orta,4440.43,18,Xeyr,
349,349,477,Yüksək,1567.09,5,Bəli,37897.7
350,350,300,Yüksək,2363.94,23,Xeyr,
351,351,779,Aşağı,1767.26,8,Xeyr,
352,352,559,Orta,1815.93,3,Xeyr,
353,353,794,Aşağı,953.46,9,Xeyr,
354,354,743,Aşağı,973.53,4,Bəli,73596.36
355,355,581,Orta,2297.93,15,Xeyr,
356,356,664,Orta,1037.53,0,Xeyr,
357,357,542,Orta,2805.56,5,Bəli,99861.46
358,358,723,Aşağı,3968.59,0,Xeyr,
359,359,668,Orta,2135.43,0,Bəli,13745.25
360,360,352,Yüksək,771.51,14,Xeyr,
361,361,711,Aşağı,2938.3,0,Bəli,18937.38
362,362,627,Orta,4692.52,12,Bəli,213873.46
363,363,473,Yüksək,3379.29,16,Xeyr,
364,364,529,Orta,1311.72,21,Xeyr,
365,365,731,Aşağı,788.32,10,Xeyr,
366,366,395,Yüksək,4232.83,12,Bəli,110146.25
367,367,812,Aşağı,2231.68,27,Xeyr,
368,368,810,Aşağı,3121.86,6,Bəli,47925.79
369,369,795,Aşağı,2740.14,10,Xeyr,
370,370,329,Yüksək,1902.5,2,Bəli,179877.4
371,371,655,Orta,2009.87,2,Xeyr,
372,372,441,Yüksək,4515.63,6,Xeyr,
373,373,658,Orta,1786.34,30,Xeyr,
374,374,338,Yüksək,1458.67,7,Bəli,166556.55
375,375,798,Aşağı,3044.6,29,Bəli,16809.76
376,376,745,Aşağı,1943.87,30,Bəli,19632.98
377,377,802,Aşağı,3900.06,6,Bəli,10493.35
378,378,750,Aşağı,3824.61,17,Bəli,66056.97
379,379,417,Yüksək,838.87,18,Xeyr,
380,380,681,Orta,2949.19,24,Xeyr,
381,381,453,Yüksək,4079.11,12,Xeyr,
382,382,496,Yüksək,2651.06,6,Xeyr,
383,383,774,Aşağı,1904.12,11,Xeyr,
384,384,606,Orta,1975.43,8,Xeyr,
385,385,745,Aşağı,3513.97,16,Xeyr,
386,386,668,Orta,420.14,21,Xeyr,
387,387,728,Aşağı,4581.36,2,Xeyr,
388,388,561,Orta,1213.43,21,Xeyr,
389,389,597,Orta,1403.77,4,Xeyr,
390,390,674,Orta,628.52,12,Xeyr,
391,391,499,Yüksək,3752.74,21,Bəli,12048.48
392,392,578,Orta,942.71,6,Xeyr,
393,393,460,Yüksək,2325.38,14,Bəli,53221.58
394,394,474,Yüksək,1870.92,26,Xeyr,
395,395,583,Orta,2099.54,3,Xeyr,
396,396,482,Yüksək,3573.35,0,Bəli,72192.96
397,397,512,Orta,1626.62,13,Bəli,130178.91
398,398,562,Orta,2196.98,13,Xeyr,
399,399,354,Yüksək,1977.26,8,Xeyr,
400,400,563,Orta,1257.24,22,Bəli,19681.44
401,401,335,Yüksək,980.43,24,Bəli,31682.02
402,402,459,Yüksək,3556.73,7,Bəli,79076.57
403,403,695,Orta,3371.74,25,Bəli,26903.45
404,404,805,Aşağı,3825.67,17,Xeyr,
405,405,453,Yüksək,1814.89,20,Xeyr,
406,406,773,Aşağı,2927.72,0,Bəli,17919.47
407,407,477,Yüksək,453.04,2,Bəli,28565.9
408,408,759,Aşağı,897.01,20,Xeyr,
409,409,559,Orta,3066.98,13,Xeyr,
410,410,397,Yüksək,4253.29,26,Bəli,238194.41
411,411,454,Yüksək,510.18,0,Bəli,11809.86
412,412,664,Orta,4568.78,15,Xeyr,
413,413,475,Yüksək,2493.48,28,Xeyr,
414,414,683,Orta,4373.85,24,Xeyr,
415,415,663,Orta,3581.96,10,Bəli,55417.42
416,416,665,Orta,588.37,24,Xeyr,
417,417,541,Orta,2014.05,4,Bəli,286241.64
418,418,468,Yüksək,4487.57,16,Bəli,4651.87
419,419,532,Orta,4084.84,14,Bəli,38139.17
420,420,647,Orta,2357.38,3,Xeyr,
421,421,364,Yüksək,3824.02,5,Xeyr,
422,422,317,Yüksək,1518.62,22,Xeyr,
423,423,369,Yüksək,4173.01,13,Xeyr,
424,424,650,Orta,1763.03,3,Bəli,8786.57
425,425,525,Orta,1599.27,10,Bəli,77940.79
426,426,512,Orta,1500.48,16,Bəli,28693.11
427,427,471,Yüksək,1505.82,5,Bəli,21975.96
428,428,301,Yüksək,3505.37,21,Xeyr,
429,429,661,Orta,2380.31,9,Xeyr,
430,430,442,Yüksək,3721.02,22,Xeyr,
431,431,405,Yüksək,4579.26,5,Bəli,42419.63
432,432,728,Aşağı,4975.63,11,Bəli,5872.7
433,433,600,Orta,2171.98,21,Xeyr,
434,434,594,Orta,3326.55,30,Bəli,65332.28
435,435,850,Aşağı,3673.85,26,Xeyr,
436,436,545,Orta,3866.36,26,Bəli,26228.39
437,437,830,Aşağı,2910.25,22,Bəli,24937.31
438,438,505,Orta,3654.78,10,Xeyr,
439,439,729,Aşağı,4869.8,1,Bəli,23107.6
440,440,518,Orta,2518.22,27,Xeyr,
441,441,677,Orta,3803.32,9,Xeyr,
442,442,572,Orta,3149.75,14,Bəli,238332.84
443,443,379,Yüksək,478.62,26,Bəli,37362.59
444,444,698,Orta,4677.75,23,Xeyr,
445,445,366,Yüksək,2967.48,14,Bəli,118050.37
446,446,450,Yüksək,2057.76,13,Bəli,105220.03
447,447,724,Aşağı,4681.67,15,Bəli,25654.03
448,448,453,Yüksək,4060.56,4,Bəli,26266.44
449,449,573,Orta,1255.51,15,Xeyr,
450,450,766,Aşağı,1625.34,29,Xeyr,
451,451,717,Aşağı,3922.26,10,Bəli,10253.16
452,452,323,Yüksək,4215.35,12,Bəli,5686.97
453,453,845,Aşağı,4217.02,9,Bəli,24785.9
454,454,544,Orta,2679.09,18,Bəli,23320.01
455,455,608,Orta,2503.79,2,Xeyr,
456,456,583,Orta,1681.29,7,Xeyr,
457,457,459,Yüksək,3867.07,29,Bəli,3605.8
458,458,313,Yüksək,794.69,7,Xeyr,
459,459,373,Yüksək,724.58,14,Bəli,30091.83
460,460,518,Orta,3928.1,9,Xeyr,
461,461,834,Aşağı,4790.71,30,Xeyr,
462,462,774,Aşağı,2470.68,10,Bəli,33441.3
463,463,577,Orta,2199.44,24,Bəli,9488.62
464,464,761,Aşağı,3386.68,9,Bəli,120746.45
465,465,806,Aşağı,2378.72,11,Xeyr,
466,466,443,Yüksək,2062.48,28,Xeyr,
467,467,495,Yüksək,4923.41,11,Bəli,24077.41
468,468,448,Yüksək,1640.99,8,Bəli,104161.45
469,469,756,Aşağı,4964.85,20,Xeyr,
470,470,822,Aşağı,3617.52,26,Bəli,100482.27
471,471,795,Aşağı,4068.22,19,Bəli,8173.63
472,472,472,Yüksək,1644.16,1,Xeyr,
473,473,460,Yüksək,3638.41,28,Bəli,39581.47
474,474,684,Orta,3474.36,28,Bəli,35801.95
475,475,455,Yüksək,4452.79,24,Xeyr,
476,476,568,Orta,3385.33,17,Xeyr,
477,477,448,Yüksək,2792.99,21,Bəli,42161.11
478,478,738,Aşağı,4849.45,10,Bəli,2844.6
479,479,747,Aşağı,1850.53,25,Bəli,77273.24
480,480,531,Orta,1536.0,11,Bəli,244837.66
481,481,801,Aşağı,2914.26,15,Bəli,8707.52
482,482,754,Aşağı,4897.35,12,Bəli,40068.1
483,483,726,Aşağı,2649.12,5,Bəli,66611.79
484,484,607,Orta,839.45,9,Xeyr,
485,485,790,Aşağı,2408.17,3,Xeyr,
486,486,332,Yüksək,2869.19,25,Xeyr,
487,487,344,Yüksək,423.47,23,Xeyr,
488,488,566,Orta,1261.84,7,Bəli,61773.16
489,489,526,Orta,1257.64,29,Xeyr,
490,490,545,Orta,3094.5,17,Bəli,10841.6
491,491,564,Orta,2062.93,19,Xeyr,
492,492,622,Orta,3490.09,2,Xeyr,
493,493,494,Yüksək,4867.74,18,Xeyr,
494,494,826,Aşağı,3606.63,9,Bəli,82606.12
495,495,597,Orta,2783.13,4,Bəli,5108.25
496,496,764,Aşağı,2376.48,23,Bəli,253266.05
497,497,659,Orta,4183.83,13,Xeyr,
498,498,380,Yüksək,3667.87,0,Bəli,180406.98
499,499,301,Yüksək,3623.76,23,Xeyr,
500,500,469,Yüksək,2570.11,23,Bəli,47949.6
501,501,451,Yüksək,3387.14,23,Xeyr,
502,502,463,Yüksək,3869.11,28,Bəli,50258.04
503,503,534,Orta,2799.16,18,Xeyr,
504,504,778,Aşağı,3461.86,13,Xeyr,
505,505,737,Aşağı,3989.01,28,Bəli,61936.7
506,506,557,Orta,4103.24,4,Bəli,2177.37
507,507,474,Yüksək,2580.15,11,Xeyr,
508,508,646,Orta,1637.71,16,Xeyr,
509,509,684,Orta,467.81,14,Bəli,31393.41
510,510,615,Orta,4879.37,30,Xeyr,
511,511,685,Orta,1905.45,6,Bəli,66762.32
512,512,691,Orta,3043.23,27,Xeyr,
513,513,557,Orta,3671.06,19,Xeyr,
514,514,469,Yüksək,2499.73,18,Xeyr,
515,515,469,Yüksək,1043.53,9,Xeyr,
516,516,404,Yüksək,509.34,14,Xeyr,
517,517,322,Yüksək,2786.93,27,Xeyr,
518,518,315,Yüksək,3395.19,30,Xeyr,
519,519,607,Orta,4795.6,30,Bəli,34122.5
