kredit_id,musteri_id,kredit_novu,kredit_meblegi,valyuta,verilme_tarixi,bitme_tarixi,faiz_derecesi,muddet_ay
69,2166,Mikro Biznes,23261.18,AZN,2024-10-24,2028-09-03,18.53,47
70,2058,İpoteka,226692.74,USD,2024-10-12,2045-06-24,8.75,252
71,1905,İstehlak,3099.62,EUR,2024-03-29,2027-06-12,21.73,39
72,2116,İstehlak,25825.44,AZN,2023-10-27,2026-04-14,17.47,30
73,1714,Mikro Biznes,22131.49,EUR,2023-06-02,2031-01-21,12.8,93
74,674,Mikro Biznes,27511.66,AZN,2024-04-25,2025-06-19,14.15,14
75,526,İpoteka,127141.31,EUR,2025-01-25,2038-08-15,8.7,165
76,1113,İpoteka,249704.26,EUR,2024-09-30,2037-10-22,9.98,159
77,1235,Avto,26770.91,AZN,2023-05-22,2026-03-07,13.22,34
78,2213,İpoteka,142479.67,AZN,2024-06-29,2049-03-20,9.01,301
79,2000,İstehlak,24248.78,EUR,2024-07-06,2026-02-26,18.46,20
80,2002,İpoteka,143205.15,AZN,2024-03-04,2040-04-09,9.17,196
81,1020,Mikro Biznes,12328.21,EUR,2023-02-05,2027-05-15,12.06,52
82,2298,Mikro Biznes,8011.45,USD,2023-07-13,2029-07-11,15.03,73
83,1625,İstehlak,21756.72,EUR,2024-01-06,2028-12-10,21.41,60
84,1553,Mikro Biznes,43960.86,EUR,2024-12-14,2026-08-06,14.11,20
85,1274,Avto,14992.88,AZN,2024-06-27,2031-03-23,16.78,82
86,1504,İstehlak,23088.17,AZN,2025-04-20,2029-11-25,20.11,56
87,274,İstehlak,9302.16,AZN,2022-11-13,2027-10-18,19.41,60
88,2328,Avto,76071.95,AZN,2025-08-17,2032-04-12,12.51,81
89,200,Mikro Biznes,17878.87,USD,2024-08-03,2032-05-23,18.6,95
90,1983,Mikro Biznes,42609.2,AZN,2025-09-25,2032-12-17,15.69,88
91,271,İstehlak,12883.05,AZN,2025-05-11,2029-10-17,16.3,54
92,1590,Mikro Biznes,19807.4,USD,2024-11-20,2031-06-17,16.77,80
93,2476,İpoteka,272918.22,EUR,2023-03-19,2047-11-08,7.86,300
94,747,İpoteka,267979.04,EUR,2025-04-08,2030-12-08,8.65,69
95,2121,Mikro Biznes,22110.07,USD,2023-07-08,2024-07-02,15.17,12
96,968,Avto,60892.91,USD,2024-03-22,2027-04-06,11.54,37
97,1092,İpoteka,56809.76,EUR,2024-06-09,2052-12-09,8.3,347
98,1097,İpoteka,147500.36,EUR,2023-08-30,2049-05-15,9.82,313
99,611,Avto,50575.46,AZN,2023-10-20,2025-12-08,14.36,26
100,1947,İstehlak,4702.38,AZN,2025-09-21,2030-07-27,19.4,59
101,1527,Avto,62360.79,EUR,2024-10-17,2029-09-21,15.68,60
102,2051,İpoteka,255992.43,EUR,2024-04-06,2053-02-03,9.06,351
103,2119,İstehlak,28092.92,AZN,2024-09-27,2028-10-06,18.08,49
104,1661,İstehlak,12352.97,EUR,2024-11-14,2029-06-21,18.56,56
105,2250,Mikro Biznes,35292.04,USD,2022-11-15,2027-12-19,13.59,62
106,1967,Avto,66661.05,USD,2023-12-15,2026-08-01,14.85,32
107,1779,Avto,71932.65,USD,2025-10-14,2032-03-11,15.74,78
108,719,Avto,59503.03,EUR,2024-12-07,2031-09-02,16.24,82
109,2081,İstehlak,26194.76,EUR,2024-12-15,2026-12-05,17.59,24
110,275,İstehlak,20151.41,EUR,2023-06-10,2027-04-20,21.4,47
111,387,Avto,9127.2,AZN,2023-02-11,2026-11-22,13.32,46
112,1915,İpoteka,37411.4,EUR,2025-05-26,2044-03-17,7.16,229
113,2060,İpoteka,177559.89,AZN,2023-06-27,2040-09-25,8.6,210
114,745,Mikro Biznes,35942.83,AZN,2023-04-21,2026-04-05,13.21,36
115,520,İstehlak,8837.35,USD,2023-09-04,2026-05-21,18.03,33
116,1840,İpoteka,95874.45,EUR,2025-03-03,2033-03-21,9.43,98
117,2337,İpoteka,131199.1,AZN,2025-09-07,2031-03-10,9.41,67
118,1114,Avto,62462.72,USD,2025-01-10,2031-07-08,13.53,79
119,2107,İpoteka,182283.08,USD,2024-08-03,2050-11-15,7.19,320
120,200,İpoteka,191574.18,AZN,2023-12-08,2034-07-13,9.88,129
121,1568,İpoteka,253168.49,EUR,2023-08-30,2040-10-29,7.94,209
122,286,İstehlak,28120.58,AZN,2025-06-24,2030-02-28,16.05,57
123,201,İstehlak,4046.13,USD,2024-11-06,2029-05-14,20.34,55
124,1530,İstehlak,23752.38,EUR,2024-04-30,2026-02-19,21.11,22
125,2439,İstehlak,17360.64,EUR,2024-09-14,2026-01-07,18.32,16
126,923,Avto,43140.5,EUR,2025-02-18,2031-04-18,13.3,75
127,482,Avto,18634.57,USD,2024-03-13,2028-06-20,14.14,52
128,375,Mikro Biznes,27165.32,USD,2025-05-01,2030-04-05,16.94,60
129,1438,İstehlak,3511.12,AZN,2023-06-06,2027-07-15,16.48,50
130,945,İstehlak,517.5,AZN,2023-08-02,2027-03-14,16.87,44
131,825,İpoteka,226140.1,AZN,2023-04-21,2043-01-06,9.43,240
132,1021,İpoteka,37029.34,AZN,2022-12-13,2032-03-25,8.64,113
133,1715,Mikro Biznes,45213.07,USD,2024-11-04,2029-12-08,13.43,62
134,1067,İpoteka,142060.0,USD,2025-05-16,2039-07-02,9.34,172
135,154,Mikro Biznes,47291.73,EUR,2024-06-06,2030-12-02,18.07,79
136,2431,İpoteka,73834.04,EUR,2024-04-06,2045-01-16,7.85,253
137,2251,İpoteka,298096.76,USD,2023-10-17,2037-01-06,7.86,161
138,1842,Mikro Biznes,37555.38,EUR,2023-12-14,2025-06-06,13.57,18
139,2110,Avto,64771.85,AZN,2023-08-25,2026-03-12,15.94,31
140,707,Mikro Biznes,14292.3,AZN,2024-04-02,2031-09-23,16.18,91
141,927,Mikro Biznes,46226.67,USD,2023-07-14,2024-07-08,16.89,12
142,201,İpoteka,56832.81,USD,2025-01-21,2052-04-29,9.08,332
143,223,Mikro Biznes,30222.61,EUR,2025-06-18,2028-10-30,19.09,41
144,2308,Mikro Biznes,8761.43,EUR,2024-06-23,2032-02-12,12.7,93
145,492,Mikro Biznes,37858.21,USD,2023-01-28,2029-10-23,19.01,82
146,1882,İpoteka,145126.51,EUR,2023-09-14,2043-06-01,7.77,240
147,2099,Avto,58171.66,AZN,2025-09-16,2028-08-01,12.59,35
148,273,İstehlak,6844.19,AZN,2024-04-02,2028-06-10,19.84,51
149,1501,Avto,72216.1,AZN,2023-08-20,2030-05-15,14.09,82
150,711,İpoteka,124147.86,AZN,2023-09-29,2034-02-03,10.0,126
151,323,İpoteka,256862.57,USD,2024-09-09,2044-11-23,8.3,246
152,940,Mikro Biznes,15641.52,USD,2023-11-17,2029-05-19,17.76,67
153,2276,Mikro Biznes,31856.38,EUR,2024-05-05,2027-06-19,13.6,38
154,1023,İstehlak,6237.67,USD,2023-06-03,2026-04-18,16.14,35
155,1477,Avto,19162.29,EUR,2023-09-07,2027-09-16,16.45,49
156,512,Avto,65088.47,USD,2025-07-03,2027-07-23,16.95,25
157,202,Mikro Biznes,37369.08,USD,2023-04-27,2030-08-18,18.12,89
158,1085,İpoteka,173408.86,EUR,2024-04-23,2042-05-19,8.51,220
159,1809,Mikro Biznes,31564.75,EUR,2024-11-01,2027-10-17,18.37,36
160,2183,İstehlak,23698.64,EUR,2024-09-04,2026-10-24,15.37,26
161,866,İstehlak,4510.12,EUR,2025-05-05,2028-06-18,19.72,38
162,2087,Avto,44836.41,AZN,2025-10-12,2032-09-05,12.8,84
163,6,İpoteka,240385.5,AZN,2025-05-23,2031-10-19,8.1,78
164,41,İstehlak,14742.1,AZN,2023-10-25,2026-03-13,19.36,29
165,824,Avto,57154.38,EUR,2023-04-25,2027-03-05,13.17,47
166,387,İstehlak,1380.92,EUR,2023-10-27,2025-01-19,21.56,15
167,2451,İpoteka,191530.76,EUR,2025-01-20,2051-01-04,8.34,316
168,646,Mikro Biznes,26253.77,AZN,2024-02-11,2027-11-22,13.57,46
169,2177,İpoteka,181987.25,AZN,2025-05-17,2036-12-15,9.31,141
170,1981,Mikro Biznes,45772.85,EUR,2025-04-29,2026-06-23,15.48,14
171,1006,İpoteka,56217.57,USD,2024-12-17,2052-10-21,7.72,339
172,852,Avto,23325.89,EUR,2023-08-15,2028-04-20,11.44,57
173,57,İstehlak,5971.73,USD,2022-11-20,2025-12-04,16.94,37
174,1752,Mikro Biznes,23378.16,USD,2025-04-29,2027-08-17,14.97,28
175,1476,İstehlak,1098.29,EUR,2022-12-29,2025-04-17,15.2,28
176,1379,İpoteka,265480.86,AZN,2024-09-03,2044-12-17,7.69,247
177,667,İpoteka,101245.92,EUR,2023-06-15,2052-08-11,7.83,355
178,2259,Mikro Biznes,48060.94,AZN,2022-11-10,2023-11-05,16.52,12
179,2061,İstehlak,11973.11,AZN,2023-08-25,2024-11-17,20.01,15
180,606,Mikro Biznes,38652.91,AZN,2024-11-07,2028-07-19,15.53,45
181,1075,Mikro Biznes,11180.12,AZN,2024-02-16,2028-09-22,16.96,56
182,491,Avto,26925.96,USD,2024-04-16,2029-05-20,14.05,62
183,1124,Mikro Biznes,15209.88,USD,2024-04-04,2026-11-20,12.59,32
184,158,Mikro Biznes,7290.53,AZN,2023-06-17,2031-02-05,18.66,93
185,2177,İpoteka,168231.18,USD,2024-03-02,2048-06-24,7.14,296
186,2026,İpoteka,61903.16,EUR,2025-05-09,2032-08-30,8.96,89
187,51,Mikro Biznes,30172.8,USD,2023-07-02,2030-09-23,15.35,88
188,2124,İstehlak,22673.31,AZN,2024-11-28,2026-02-21,15.23,15
189,1539,İpoteka,180868.99,AZN,2024-11-29,2036-12-26,7.01,147
190,1032,İpoteka,194871.48,EUR,2024-07-06,2051-11-12,9.07,333
191,2105,İstehlak,21848.29,USD,2022-12-09,2024-12-28,18.56,25
192,1052,Avto,74668.51,EUR,2025-06-25,2030-05-30,13.71,60
193,1746,Avto,6750.18,USD,2025-07-18,2030-11-19,10.84,65
194,1666,Mikro Biznes,20821.6,AZN,2025-08-20,2029-08-29,18.99,49
195,1194,İpoteka,38672.61,AZN,2023-03-19,2036-01-10,7.91,156
196,1804,İstehlak,19780.14,USD,2023-03-04,2024-09-24,16.87,19
197,198,Mikro Biznes,32362.78,USD,2024-07-01,2029-09-03,16.38,63
198,2089,İpoteka,180567.05,EUR,2023-08-19,2041-11-12,9.56,222
199,992,İpoteka,122227.61,USD,2024-09-07,2048-12-30,9.22,296
200,1368,Avto,46397.82,AZN,2022-11-28,2029-04-25,15.79,78
201,1085,İstehlak,28562.65,EUR,2024-10-16,2028-01-29,19.35,40
202,1153,Mikro Biznes,28465.35,AZN,2024-03-23,2029-08-24,15.84,66
203,338,Avto,12722.08,USD,2024-10-22,2028-05-04,17.5,43
204,236,İpoteka,114299.14,AZN,2023-01-30,2038-02-10,9.5,183
205,378,İstehlak,22566.75,USD,2023-10-22,2027-08-02,15.53,46
206,676,Avto,79760.43,AZN,2025-07-08,2032-05-02,16.01,83
207,1276,Mikro Biznes,26594.73,USD,2023-10-07,2030-03-04,15.67,78
208,897,İpoteka,59240.55,USD,2023-08-06,2041-08-31,7.53,220
209,524,Mikro Biznes,46809.37,USD,2025-09-03,2027-06-25,12.38,22
210,1455,Mikro Biznes,13612.11,AZN,2024-11-17,2026-10-08,19.85,23
211,671,İstehlak,20621.51,AZN,2025-09-01,2028-09-15,16.49,37
212,1744,Avto,7593.03,EUR,2024-06-21,2028-12-27,10.22,55
213,1926,İpoteka,239142.52,AZN,2023-08-06,2035-03-06,7.49,141
214,2444,İstehlak,8348.19,AZN,2024-12-13,2028-09-23,19.55,46
215,903,Avto,3794.1,EUR,2023-10-01,2027-02-12,16.19,41
216,484,Avto,38316.02,AZN,2024-12-17,2027-03-07,17.2,27
217,948,Avto,61401.78,AZN,2025-10-18,2028-08-03,11.85,34
218,103,İstehlak,13232.22,AZN,2023-04-13,2025-10-29,15.55,31
219,651,İpoteka,144210.81,EUR,2025-05-05,2038-03-28,9.3,157
220,1613,Mikro Biznes,36309.36,AZN,2024-12-18,2027-01-07,18.05,25
221,2247,Avto,48745.25,EUR,2023-10-18,2028-03-25,12.84,54
222,694,İpoteka,97213.55,USD,2025-06-09,2045-12-21,7.37,250
223,810,İpoteka,236817.98,USD,2024-06-24,2047-08-23,8.71,282
224,1967,Mikro Biznes,5639.89,USD,2023-02-23,2028-07-26,16.7,66
225,1902,İstehlak,26327.47,USD,2023-10-03,2028-05-09,17.12,56
226,2047,İpoteka,22865.32,USD,2022-11-04,2042-09-20,9.57,242
227,515,İstehlak,21626.73,USD,2024-08-12,2029-02-17,21.66,55
228,1368,İstehlak,25004.65,USD,2025-01-06,2026-04-01,20.3,15
229,707,Mikro Biznes,19777.5,AZN,2025-01-01,2028-03-16,17.72,39
230,1243,Avto,22997.97,EUR,2023-10-01,2027-09-10,12.16,48
231,696,İpoteka,67805.46,USD,2025-03-26,2039-08-10,7.81,175
232,461,Avto,71813.58,USD,2025-03-11,2028-09-21,11.4,43
233,69,Avto,74944.42,USD,2024-10-12,2029-10-16,15.75,61
234,1849,Avto,76269.17,EUR,2024-07-01,2030-05-31,15.21,72
235,148,Avto,27296.19,USD,2025-09-13,2031-01-15,10.32,65
236,2246,Avto,18349.82,USD,2023-08-10,2030-05-05,14.89,82
237,1336,Avto,32510.9,USD,2023-03-20,2025-10-05,14.23,31
238,34,Mikro Biznes,18469.48,AZN,2025-01-04,2027-07-23,14.21,31
239,1240,Avto,73595.45,AZN,2025-09-12,2032-05-08,10.16,81
240,2430,İstehlak,4797.27,USD,2022-12-28,2027-12-02,21.73,60
241,171,İpoteka,181430.08,EUR,2024-08-27,2038-07-15,9.37,169
242,241,Mikro Biznes,4272.41,EUR,2023-02-18,2029-07-16,17.07,78
243,2206,Mikro Biznes,4292.33,USD,2024-07-28,2030-01-28,13.76,67
244,1196,İpoteka,55055.39,USD,2024-07-22,2048-11-13,7.88,296
245,1610,Avto,28490.01,USD,2024-12-16,2031-03-15,16.86,76
246,2412,Mikro Biznes,26868.82,AZN,2022-12-22,2024-06-14,12.29,18
247,318,İstehlak,1762.98,AZN,2025-10-06,2026-11-30,21.03,14
248,1201,Mikro Biznes,30706.94,AZN,2024-04-21,2031-02-14,14.28,83
249,2130,Mikro Biznes,24313.02,USD,2025-02-14,2026-04-10,14.11,14
250,163,İpoteka,136301.52,AZN,2024-12-08,2050-11-22,7.88,316
251,2250,İstehlak,11203.45,EUR,2025-06-08,2030-04-13,16.09,59
252,2111,İstehlak,20111.26,USD,2024-12-17,2028-07-29,17.65,44
253,268,Avto,45782.97,USD,2023-04-20,2028-05-23,13.89,62
254,1962,İstehlak,19397.2,AZN,2023-02-01,2025-02-20,20.41,25
255,2014,İstehlak,11352.79,AZN,2024-04-29,2026-03-20,18.42,23
256,52,Mikro Biznes,24970.45,EUR,2025-09-30,2027-09-20,14.03,24
257,1480,Avto,75491.48,EUR,2025-01-25,2031-08-22,12.65,80
258,580,Mikro Biznes,18337.56,EUR,2022-11-03,2030-01-25,13.09,88
259,2117,İstehlak,12287.69,AZN,2023-04-23,2024-04-17,17.76,12
260,721,İpoteka,251093.19,AZN,2024-11-20,2040-12-26,9.59,196
261,47,Avto,71767.39,EUR,2023-03-24,2026-08-05,12.15,41
262,2077,Avto,34607.09,USD,2025-10-07,2027-10-27,14.28,25
263,7,İpoteka,26793.39,USD,2024-11-02,2052-09-06,9.61,339
264,1797,Avto,47711.32,AZN,2024-12-05,2029-08-11,12.09,57
265,2173,İstehlak,16158.03,USD,2025-06-23,2029-02-02,18.92,44
266,472,İstehlak,3907.62,AZN,2023-09-15,2026-03-03,16.16,30
267,1300,İstehlak,12618.99,USD,2023-08-02,2028-01-08,19.34,54
268,927,İstehlak,799.81,AZN,2024-04-13,2026-01-03,16.43,21
269,2059,Mikro Biznes,7387.99,USD,2024-09-11,2029-12-14,13.24,64
270,2021,Mikro Biznes,38016.53,AZN,2025-07-08,2032-10-29,18.66,89
271,1594,İpoteka,53197.87,AZN,2025-10-14,2044-02-07,7.84,223
272,1831,Avto,14852.28,EUR,2023-06-02,2026-11-13,16.59,42
273,1505,İpoteka,87118.08,EUR,2023-08-06,2041-11-29,7.73,223
274,206,İpoteka,97836.52,USD,2025-01-01,2052-11-05,9.91,339
275,651,İstehlak,13025.51,EUR,2022-12-13,2027-07-20,16.18,56
276,620,Mikro Biznes,35334.8,USD,2024-12-21,2029-12-25,16.25,61
277,120,İpoteka,211474.41,USD,2023-04-23,2042-11-09,8.86,238
278,880,Mikro Biznes,1570.92,AZN,2024-03-04,2030-01-02,17.62,71
279,1209,Mikro Biznes,20276.76,USD,2024-09-25,2027-05-13,16.58,32
280,422,Mikro Biznes,6779.95,EUR,2022-12-15,2028-11-13,17.49,72
281,402,İstehlak,20910.9,AZN,2024-06-30,2025-07-25,19.02,13
282,2380,Avto,54803.37,EUR,2025-02-19,2031-10-16,15.5,81
283,2375,Mikro Biznes,19249.6,EUR,2024-08-31,2028-05-12,12.28,45
284,2151,Avto,71097.3,AZN,2025-07-17,2032-06-10,17.16,84
285,389,Avto,57784.73,AZN,2024-04-20,2031-03-15,13.48,84
286,557,Mikro Biznes,30252.03,AZN,2023-05-08,2027-06-16,14.77,50
287,1905,İstehlak,26914.66,EUR,2025-07-09,2028-06-23,16.75,36
288,2369,İstehlak,8464.13,EUR,2023-10-01,2025-05-23,21.57,20
289,958,İpoteka,41709.45,EUR,2023-02-26,2039-09-30,7.59,202
290,1070,Mikro Biznes,49738.61,AZN,2024-02-08,2030-05-07,17.66,76
291,780,İstehlak,9888.85,EUR,2024-01-26,2028-11-30,16.33,59
292,25,İpoteka,125672.34,EUR,2023-09-25,2050-12-02,8.83,331
293,868,Avto,30580.19,USD,2023-10-27,2030-02-22,14.84,77
294,1784,İstehlak,14065.14,USD,2025-06-22,2029-07-31,17.11,50
295,1645,İstehlak,6965.26,EUR,2023-06-01,2024-07-25,20.87,14
296,429,İpoteka,259370.98,EUR,2023-08-25,2029-10-22,7.76,75
297,361,İpoteka,148235.24,EUR,2023-04-13,2037-12-25,7.01,179
298,585,Mikro Biznes,35654.23,EUR,2025-08-29,2030-12-31,15.19,65
299,337,Avto,45798.09,EUR,2023-05-13,2025-12-28,14.54,32
300,1052,İstehlak,10180.83,EUR,2024-08-18,2025-11-11,15.95,15
301,1918,İstehlak,24917.11,EUR,2022-12-18,2024-05-11,16.86,17
302,1617,Avto,4776.13,AZN,2024-03-15,2027-06-28,15.86,40
303,2316,Mikro Biznes,7710.86,AZN,2023-12-19,2026-12-03,16.12,36
304,1593,İpoteka,39974.07,AZN,2024-02-04,2042-12-26,9.32,230
305,1072,İstehlak,23877.22,EUR,2024-09-03,2027-06-20,19.33,34
306,741,İstehlak,24614.34,EUR,2025-02-05,2026-12-27,15.53,23
307,354,Avto,28905.04,EUR,2025-01-31,2028-06-14,14.98,41
308,2061,İpoteka,123746.32,EUR,2024-09-18,2054-02-13,8.16,358
309,2042,İstehlak,8850.16,AZN,2023-10-12,2026-02-28,16.93,29
310,1160,Mikro Biznes,23598.22,EUR,2024-09-23,2027-05-11,17.24,32
311,2498,İstehlak,1933.92,USD,2024-07-01,2025-11-23,21.63,17
312,380,İpoteka,193974.56,EUR,2025-07-03,2049-09-25,9.39,295
313,2313,İpoteka,276841.55,EUR,2022-12-28,2044-04-06,7.96,259
314,2374,Mikro Biznes,7817.68,AZN,2025-08-10,2030-05-16,17.29,58
315,1125,Mikro Biznes,31103.02,EUR,2024-03-03,2031-01-26,18.65,84
316,68,Avto,5748.35,EUR,2022-11-12,2026-05-25,10.16,43
317,527,İstehlak,12088.31,EUR,2023-09-23,2026-01-10,17.52,28
318,399,İpoteka,221641.48,AZN,2023-06-02,2041-04-28,9.34,218
319,2254,Mikro Biznes,47363.93,AZN,2022-12-17,2030-06-08,16.18,91
320,1354,İstehlak,12077.91,USD,2023-07-02,2025-04-22,15.27,22
321,906,Mikro Biznes,17322.34,AZN,2022-11-07,2025-07-24,14.81,33
322,39,İpoteka,164317.27,USD,2023-03-27,2033-11-29,8.26,130
323,1621,İstehlak,25633.61,EUR,2023-01-12,2027-01-21,19.64,49
324,2273,Avto,11372.81,EUR,2024-06-24,2028-09-01,15.58,51
325,2244,Mikro Biznes,35712.97,EUR,2024-07-21,2030-04-21,14.35,70
326,1411,İpoteka,244258.85,AZN,2024-03-24,2048-12-13,8.21,301
327,1752,Mikro Biznes,42718.72,AZN,2025-05-13,2026-09-05,14.64,16
328,276,İstehlak,504.7,USD,2025-06-07,2026-11-29,17.26,18
329,716,İstehlak,15902.01,EUR,2022-11-21,2027-03-30,21.28,53
330,1589,İstehlak,16961.24,EUR,2023-06-23,2026-07-07,19.86,37
331,1525,İpoteka,100405.15,USD,2022-12-16,2044-06-23,7.22,262
332,2086,Mikro Biznes,8110.36,AZN,2023-05-14,2028-12-13,18.19,68
333,70,Avto,15745.15,USD,2024-03-21,2026-11-06,14.23,32
334,2380,Mikro Biznes,3890.32,USD,2023-07-21,2030-05-15,19.15,83
335,41,Avto,74474.01,USD,2024-12-27,2027-06-15,14.02,30
336,138,Avto,20486.15,EUR,2023-12-06,2028-10-10,16.57,59
337,754,Mikro Biznes,41852.73,EUR,2023-11-23,2028-09-27,12.73,59
338,256,İstehlak,4479.52,AZN,2025-09-11,2028-05-28,15.62,33
339,2432,İstehlak,6153.58,AZN,2024-02-18,2027-04-03,15.92,38
340,2290,Mikro Biznes,40101.71,EUR,2025-02-24,2031-12-20,19.87,83
341,679,Avto,8145.02,USD,2022-11-22,2025-08-08,13.6,33
342,807,Mikro Biznes,8018.23,EUR,2023-12-16,2025-06-08,16.54,18
343,32,İpoteka,272994.22,USD,2024-07-13,2032-05-02,9.5,95
344,851,İpoteka,221130.08,USD,2022-12-14,2032-02-25,9.85,112
345,2392,İstehlak,19954.07,AZN,2024-06-19,2026-02-09,21.19,20
346,668,Mikro Biznes,27663.44,AZN,2023-10-11,2026-02-27,12.47,29
347,509,İstehlak,29689.96,AZN,2024-06-11,2029-05-16,17.86,60
348,1299,Mikro Biznes,6470.21,USD,2022-10-27,2030-03-19,19.86,90
349,554,İpoteka,31268.28,AZN,2025-07-24,2043-06-20,8.91,218
350,1790,İpoteka,229915.04,USD,2025-07-02,2050-05-22,8.98,303
