odenis_id,kredit_id,odenis_tarixi,odenis_meblegi,odenis_novu,status
107,702,2025-03-02,1141.34,Əsas borc,Ödənilib
108,227,2025-10-13,391.71,Cərimə,Qismən Ödənilib
109,170,2025-10-02,162.49,Cərimə,Gecikib
110,1618,2024-08-30,687.5,Əsas borc,Ödənilib
111,650,2025-05-23,602.88,Faiz,Qismən Ödənilib
112,92,2025-05-27,70.45,Cərimə,Qismən Ödənilib
113,2539,2025-06-18,1228.36,Faiz,Qismən Ödənilib
114,1874,2025-03-08,234.34,Faiz,Ödənilib
115,1443,2024-08-12,363.67,Cərimə,Ödənilib
116,610,2025-06-14,1513.35,Əsas borc,Gecikib
117,2809,2023-09-03,150.35,Əsas borc,Gecikib
118,1393,2025-03-25,522.35,Faiz,Gecikib
119,776,2025-08-09,500.83,Faiz,Qismən Ödənilib
120,60,2024-09-16,361.89,Əsas borc,Qismən Ödənilib
121,513,2025-01-07,96.26,Cərimə,Ödənilib
122,222,2025-07-31,763.4,Əsas borc,Ödənilib
123,229,2025-06-10,177.45,Əsas borc,Gecikib
124,703,2024-05-31,233.36,Faiz,Gecikib
125,1656,2025-05-28,357.2,Faiz,Gecikib
126,1072,2025-10-07,395.6,Əsas borc,Qismən Ödənilib
127,2411,2025-07-19,1001.31,Əsas borc,Gecikib
128,760,2024-04-16,519.0,Cərimə,Ödənilib
129,1137,2025-03-02,94.89,Cərimə,Gecikib
130,781,2025-01-29,715.28,Faiz,Qismən Ödənilib
131,2744,2025-10-19,130.82,Cərimə,Gecikib
132,2080,2025-06-19,1168.35,Əsas borc,Ödənilib
133,1347,2023-12-24,359.48,Cərimə,Gecikib
134,2980,2025-02-16,964.31,Faiz,Gecikib
135,2778,2025-06-13,237.59,Cərimə,Ödənilib
136,1097,2024-11-17,698.83,Faiz,Ödənilib
137,2071,2025-10-05,526.48,Əsas borc,Gecikib
138,769,2025-05-03,483.54,Faiz,Qismən Ödənilib
139,901,2024-11-28,961.45,Əsas borc,Qismən Ödənilib
140,1034,2025-06-20,334.64,Faiz,Ödənilib
141,1954,2024-06-20,1007.49,Faiz,Gecikib
142,787,2025-07-27,1747.37,Əsas borc,Ödənilib
143,887,2025-04-29,565.34,Faiz,Ödənilib
144,81,2023-06-07,644.36,Əsas borc,Gecikib
145,51,2025-10-20,316.03,Cərimə,Qismən Ödənilib
146,2035,2025-07-13,645.6,Cərimə,Gecikib
147,2448,2025-08-21,247.21,Əsas borc,Ödənilib
148,1885,2025-08-23,90.8,Faiz,Gecikib
149,939,2025-05-30,94.38,Cərimə,Ödənilib
150,2850,2023-07-14,1950.68,Faiz,Qismən Ödənilib
151,1799,2024-08-05,540.08,Faiz,Gecikib
152,1866,2023-03-01,575.61,Cərimə,Qismən Ödənilib
153,2876,2023-08-20,474.23,Cərimə,Ödənilib
154,1420,2024-12-01,576.83,Əsas borc,Gecikib
155,2731,2025-08-23,193.85,Əsas borc,Gecikib
156,2059,2025-08-10,1275.65,Faiz,Qismən Ödənilib
157,1661,2025-07-16,1910.97,Cərimə,Qismən Ödənilib
158,296,2025-01-13,1025.01,Cərimə,Gecikib
159,2296,2025-10-22,894.56,Əsas borc,Gecikib
160,848,2023-10-11,321.44,Faiz,Gecikib
161,675,2025-10-06,371.6,Faiz,Qismən Ödənilib
162,1359,2024-12-02,1237.78,Əsas borc,Gecikib
163,124,2024-08-15,567.02,Cərimə,Ödənilib
164,1917,2025-09-22,156.28,Əsas borc,Ödənilib
165,657,2025-10-21,744.9,Cərimə,Ödənilib
166,246,2024-07-03,459.26,Cərimə,Ödənilib
167,1357,2025-03-18,84.62,Cərimə,Gecikib
168,2206,2025-09-21,686.2,Əsas borc,Gecikib
169,606,2024-06-27,231.8,Cərimə,Gecikib
170,477,2024-12-05,228.26,Cərimə,Gecikib
171,2236,2025-05-25,64.56,Cərimə,Gecikib
172,2948,2025-08-15,1752.16,Əsas borc,Gecikib
173,203,2025-01-01,475.27,Əsas borc,Qismən Ödənilib
174,240,2023-02-05,664.38,Cərimə,Gecikib
175,1394,2023-05-15,61.43,Əsas borc,Ödənilib
176,1674,2025-07-21,57.87,Əsas borc,Qismən Ödənilib
177,213,2025-04-16,1919.39,Faiz,Ödənilib
178,2347,2025-08-09,822.02,Cərimə,Gecikib
179,2810,2025-09-15,668.88,Cərimə,Ödənilib
180,1696,2024-02-01,636.18,Əsas borc,Ödənilib
181,2277,2024-12-17,509.95,Cərimə,Qismən Ödənilib
182,1694,2023-09-26,260.16,Əsas borc,Ödənilib
183,765,2025-08-04,771.54,Cərimə,Ödənilib
184,2563,2024-08-14,223.95,Faiz,Ödənilib
185,477,2024-12-10,234.22,Əsas borc,Ödənilib
186,1752,2024-08-23,854.46,Cərimə,Ödənilib
187,2540,2025-08-29,713.74,Faiz,Qismən Ödənilib
188,1449,2025-03-05,460.75,Faiz,Gecikib
189,1591,2025-02-01,1136.9,Əsas borc,Qismən Ödənilib
190,2098,2024-06-16,825.49,Faiz,Qismən Ödənilib
191,603,2025-10-05,1856.52,Cərimə,Qismən Ödənilib
192,1078,2025-02-12,592.16,Faiz,Ödənilib
193,455,2025-04-26,415.91,Cərimə,Ödənilib
194,1473,2024-05-21,417.19,Cərimə,Gecikib
195,1851,2025-08-18,692.21,Cərimə,Gecikib
196,1126,2023-12-29,1432.77,Cərimə,Qismən Ödənilib
197,2390,2022-12-12,795.4,Əsas borc,Qismən Ödənilib
198,498,2025-07-30,1844.63,Əsas borc,Gecikib
199,539,2024-11-27,291.54,Cərimə,Ödənilib
200,1511,2025-06-12,246.35,Cərimə,Qismən Ödənilib
201,1926,2024-05-02,657.08,Cərimə,Gecikib
202,925,2024-06-24,528.03,Cərimə,Qismən Ödənilib
203,1641,2025-04-06,422.01,Faiz,Gecikib
204,1279,2024-12-23,1116.73,Cərimə,Qismən Ödənilib
205,29,2024-12-10,325.98,Faiz,Ödənilib
206,2750,2025-02-28,407.8,Əsas borc,Ödənilib
207,1214,2023-10-23,757.48,Əsas borc,Ödənilib
208,2769,2024-11-05,229.73,Əsas borc,Gecikib
209,543,2025-09-06,995.12,Əsas borc,Ödənilib
210,2803,2025-09-13,1996.64,Faiz,Gecikib
211,1095,2024-10-20,103.15,Cərimə,Ödənilib
212,682,2025-09-13,528.12,Əsas borc,Qismən Ödənilib
213,2325,2025-07-21,383.86,Faiz,Gecikib
214,568,2025-08-26,652.29,Faiz,Ödənilib
215,842,2024-04-21,77.58,Faiz,Ödənilib
216,1675,2025-07-11,551.61,Faiz,Gecikib
217,525,2025-09-21,473.28,Cərimə,Gecikib
218,797,2025-04-30,609.51,Əsas borc,Gecikib
219,844,2025-06-23,94.79,Əsas borc,Ödənilib
220,1177,2025-03-01,362.62,Cərimə,Ödənilib
221,2120,2025-09-25,459.65,Cərimə,Qismən Ödənilib
222,1976,2025-08-18,1057.45,Əsas borc,Qismən Ödənilib
223,1548,2024-09-26,768.75,Cərimə,Gecikib
224,1011,2025-08-22,619.71,Faiz,Ödənilib
225,1960,2025-08-03,347.78,Faiz,Qismən Ödənilib
226,1368,2025-06-17,1362.42,Cərimə,Qismən Ödənilib
227,1541,2024-10-16,88.16,Faiz,Gecikib
228,2412,2024-11-27,439.6,Faiz,Ödənilib
229,222,2025-07-27,613.02,Cərimə,Ödənilib
230,2597,2025-10-21,973.15,Əsas borc,Ödənilib
231,646,2025-01-23,1938.34,Əsas borc,Qismən Ödənilib
232,832,2023-11-12,893.16,Əsas borc,Ödənilib
233,1523,2024-11-29,503.02,Cərimə,Qismən Ödənilib
234,868,2024-02-04,1506.69,Əsas borc,Ödənilib
235,2434,2024-04-06,510.16,Faiz,Gecikib
236,1257,2024-09-10,613.02,Cərimə,Gecikib
237,2365,2025-10-01,1695.53,Faiz,Ödənilib
238,608,2025-03-01,989.67,Əsas borc,Ödənilib
239,1971,2024-02-08,981.03,Əsas borc,Gecikib
240,2575,2025-03-28,639.89,Cərimə,Ödənilib
241,2529,2025-01-19,137.1,Əsas borc,Gecikib
242,1135,2024-11-06,584.92,Cərimə,Gecikib
243,2946,2024-11-28,1022.6,Faiz,Gecikib
244,1611,2023-09-14,494.23,Əsas borc,Qismən Ödənilib
245,1383,2025-08-24,141.51,Əsas borc,Gecikib
246,1949,2024-02-10,888.44,Cərimə,Ödənilib
247,1982,2025-06-09,210.34,Əsas borc,Ödənilib
248,147,2025-09-30,493.67,Əsas borc,Ödənilib
249,614,2024-08-21,104.23,Faiz,Ödənilib
250,1887,2025-09-03,324.36,Cərimə,Qismən Ödənilib
251,1867,2025-10-14,227.05,Əsas borc,Ödənilib
252,2691,2025-07-09,820.65,Cərimə,Gecikib
253,880,2025-10-14,530.13,Faiz,Ödənilib
254,735,2024-08-06,512.21,Cərimə,Gecikib
255,1463,2024-02-29,799.85,Cərimə,Gecikib
256,12,2025-09-19,120.68,Cərimə,Ödənilib
257,1409,2025-02-06,385.23,Cərimə,Qismən Ödənilib
258,928,2025-03-07,439.74,Faiz,Gecikib
259,1444,2025-03-11,255.77,Cərimə,Gecikib
260,2411,2025-06-04,936.49,Faiz,Gecikib
261,695,2025-04-03,1439.78,Cərimə,Gecikib
262,710,2024-10-28,547.13,Faiz,Gecikib
263,806,2025-02-28,657.06,Faiz,Qismən Ödənilib
264,854,2023-03-08,531.83,Əsas borc,Ödənilib
265,1507,2024-08-26,153.75,Əsas borc,Ödənilib
266,1751,2024-09-01,632.67,Əsas borc,Ödənilib
267,901,2025-05-15,784.02,Faiz,Ödənilib
268,2130,2025-01-04,644.7,Əsas borc,Ödənilib
269,2515,2024-01-25,373.45,Əsas borc,Qismən Ödənilib
270,730,2024-09-23,989.19,Cərimə,Ödənilib
271,825,2025-08-13,267.51,Cərimə,Gecikib
272,611,2024-01-19,1808.5,Əsas borc,Ödənilib
273,2617,2025-09-28,672.52,Cərimə,Gecikib
274,1723,2024-06-03,511.63,Faiz,Gecikib
275,1921,2024-09-15,1905.35,Əsas borc,Gecikib
276,2539,2025-05-15,1330.04,Faiz,Ödənilib
277,2525,2025-03-27,1166.1,Faiz,Ödənilib
278,2994,2025-10-10,699.28,Faiz,Gecikib
279,1072,2025-09-29,742.22,Cərimə,Qismən Ödənilib
280,2773,2025-07-11,839.29,Faiz,Ödənilib
281,848,2023-10-25,494.61,Cərimə,Gecikib
282,1410,2025-09-04,128.17,Əsas borc,Ödənilib
283,2791,2024-09-08,947.89,Cərimə,Ödənilib
284,1705,2023-07-12,559.85,Cərimə,Ödənilib
285,2866,2025-07-29,955.64,Cərimə,Gecikib
286,562,2025-10-12,670.63,Faiz,Gecikib
287,831,2025-06-02,655.76,Əsas borc,Ödənilib
288,2897,2025-07-28,799.53,Əsas borc,Qismən Ödənilib
289,2332,2025-08-18,505.34,Cərimə,Qismən Ödənilib
290,216,2025-04-21,782.37,Əsas borc,Gecikib
291,1427,2025-06-28,583.96,Faiz,Qismən Ödənilib
292,1651,2025-09-14,368.8,Əsas borc,Gecikib
293,1713,2023-07-27,242.1,Əsas borc,Gecikib
294,2356,2025-04-13,329.84,Əsas borc,Gecikib
295,1034,2024-10-09,586.41,Əsas borc,Ödənilib
296,889,2025-08-30,698.79,Faiz,Gecikib
297,676,2025-05-15,434.77,Əsas borc,Qismən Ödənilib
298,2290,2024-10-23,516.17,Əsas borc,Qismən Ödənilib
299,1982,2025-09-04,864.63,Əsas borc,Qismən Ödənilib
300,1738,2025-02-02,207.76,Cərimə,Qismən Ödənilib
301,1669,2025-09-19,396.37,Cərimə,Gecikib
302,2075,2025-04-16,1723.08,Cərimə,Gecikib
303,2265,2024-11-25,1670.24,Əsas borc,Qismən Ödənilib
304,363,2024-06-01,572.0,Cərimə,Ödənilib
305,1456,2025-09-14,254.37,Faiz,Gecikib
306,1720,2023-03-29,287.66,Cərimə,Ödənilib
307,2793,2025-09-23,353.08,Cərimə,Ödənilib
308,1601,2025-09-29,133.24,Əsas borc,Qismən Ödənilib
309,1182,2025-09-22,756.5,Faiz,Gecikib
310,1293,2025-04-19,689.76,Cərimə,Qismən Ödənilib
311,1869,2025-05-13,269.03,Faiz,Ödənilib
312,1294,2024-03-18,677.89,Faiz,Qismən Ödənilib
313,2309,2024-11-23,1979.55,Cərimə,Qismən Ödənilib
314,93,2023-09-06,793.97,Faiz,Gecikib
315,244,2025-03-13,536.59,Əsas borc,Ödənilib
316,687,2025-06-07,969.03,Cərimə,Ödənilib
317,1444,2024-11-02,274.05,Faiz,Qismən Ödənilib
318,463,2025-05-04,851.17,Cərimə,Ödənilib
319,2995,2025-07-29,53.86,Əsas borc,Qismən Ödənilib
320,1552,2025-09-18,792.6,Faiz,Ödənilib
321,945,2025-06-06,615.45,Cərimə,Qismən Ödənilib
322,1414,2025-10-20,659.93,Faiz,Ödənilib
323,2768,2024-02-25,810.32,Əsas borc,Ödənilib
324,775,2023-04-24,424.34,Əsas borc,Ödənilib
325,2269,2024-09-05,359.35,Faiz,Ödənilib
326,1549,2025-05-03,451.54,Əsas borc,Gecikib
327,1547,2025-10-11,664.5,Cərimə,Qismən Ödənilib
328,860,2023-05-20,623.63,Əsas borc,Gecikib
329,588,2024-06-21,420.16,Cərimə,Qismən Ödənilib
330,2926,2025-10-13,241.52,Əsas borc,Ödənilib
331,2419,2025-08-02,147.96,Faiz,Gecikib
332,2523,2025-03-15,355.7,Əsas borc,Ödənilib
333,833,2024-05-22,453.15,Faiz,Ödənilib
334,707,2025-07-16,489.29,Cərimə,Gecikib
335,1647,2025-10-05,235.58,Faiz,Gecikib
336,1554,2025-03-07,569.9,Faiz,Gecikib
337,660,2023-02-21,329.47,Cərimə,Qismən Ödənilib
338,2384,2025-06-13,315.28,Faiz,Ödənilib
339,1125,2025-06-16,622.48,Əsas borc,Qismən Ödənilib
340,2337,2025-01-23,267.79,Əsas borc,Qismən Ödənilib
341,1808,2025-08-23,1115.64,Faiz,Ödənilib
342,1386,2025-03-07,200.82,Faiz,Qismən Ödənilib
343,426,2024-10-04,1216.51,Cərimə,Ödənilib
344,1555,2025-03-25,183.35,Cərimə,Ödənilib
345,1727,2025-06-08,82.49,Əsas borc,Qismən Ödənilib
346,2491,2025-07-21,1930.19,Cərimə,Ödənilib
347,1643,2025-10-19,481.59,Faiz,Qismən Ödənilib
348,2747,2025-08-22,486.07,Cərimə,Gecikib
349,1299,2025-08-20,1650.4,Faiz,Gecikib
350,650,2025-06-01,252.38,Faiz,Ödənilib
351,2122,2025-02-09,52.31,Əsas borc,Gecikib
352,2593,2025-09-01,202.82,Cərimə,Ödənilib
353,1750,2023-05-28,326.71,Cərimə,Qismən Ödənilib
354,194,2025-09-12,433.92,Əsas borc,Gecikib
355,2258,2025-07-22,1145.33,Əsas borc,Gecikib
356,2847,2025-04-07,1766.29,Cərimə,Qismən Ödənilib
357,484,2024-05-26,187.67,Əsas borc,Qismən Ödənilib
358,631,2023-08-21,533.96,Əsas borc,Ödənilib
359,1379,2025-06-26,362.64,Cərimə,Gecikib
360,2506,2025-10-17,723.83,Cərimə,Ödənilib
361,742,2025-02-02,207.9,Faiz,Gecikib
362,2671,2024-08-02,961.35,Cərimə,Gecikib
363,32,2025-06-28,577.97,Cərimə,Qismən Ödənilib
364,1217,2025-10-22,243.07,Cərimə,Ödənilib
365,1519,2025-05-15,1465.13,Əsas borc,Ödənilib
366,1120,2025-04-08,504.23,Əsas borc,Qismən Ödənilib
367,939,2024-07-11,361.72,Cərimə,Gecikib
368,1660,2022-11-10,991.73,Əsas borc,Qismən Ödənilib
369,1716,2024-06-15,1109.38,Cərimə,Ödənilib
370,1828,2024-03-26,175.52,Cərimə,Ödənilib
371,1772,2025-01-09,74.46,Cərimə,Gecikib
372,884,2025-07-29,162.95,Əsas borc,Gecikib
373,2264,2025-02-14,1805.54,Faiz,Ödənilib
374,977,2023-12-25,642.7,Faiz,Gecikib
375,2763,2024-09-16,708.46,Əsas borc,Qismən Ödənilib
376,2666,2025-06-27,1501.96,Faiz,Ödənilib
377,1083,2024-08-04,308.43,Cərimə,Ödənilib
378,1281,2025-07-28,320.67,Cərimə,Qismən Ödənilib
379,1872,2025-10-10,446.99,Faiz,Qismən Ödənilib
380,2504,2025-08-20,95.8,Faiz,Gecikib
381,1579,2024-08-25,101.14,Cərimə,Qismən Ödənilib
382,2334,2024-12-18,343.97,Cərimə,Ödənilib
383,2034,2024-07-30,947.12,Əsas borc,Ödənilib
384,1419,2025-01-02,531.17,Əsas borc,Qismən Ödənilib
385,2520,2025-05-22,315.24,Faiz,Ödənilib
386,2041,2025-03-03,684.35,Əsas borc,Qismən Ödənilib
387,1955,2025-09-29,355.88,Cərimə,Ödənilib
388,2839,2025-10-07,237.14,Faiz,Qismən Ödənilib
389,13,2025-09-25,207.32,Əsas borc,Gecikib
390,2547,2025-07-18,558.28,Əsas borc,Ödənilib
391,448,2025-09-06,154.61,Cərimə,Gecikib
392,1323,2025-03-19,631.98,Cərimə,Qismən Ödənilib
393,745,2025-04-07,150.74,Əsas borc,Gecikib
394,601,2024-05-10,525.23,Cərimə,Gecikib
395,1416,2023-03-29,1945.0,Cərimə,Gecikib
396,2492,2024-04-17,610.71,Faiz,Gecikib
397,2783,2025-07-01,450.17,Faiz,Gecikib
398,2223,2025-08-27,393.8,Cərimə,Ödənilib
399,655,2025-04-03,189.42,Əsas borc,Ödənilib
400,2398,2025-06-14,741.91,Faiz,Ödənilib
401,2958,2025-09-18,533.66,Faiz,Ödənilib
402,113,2024-10-09,1108.75,Cərimə,Ödənilib
403,2838,2025-07-11,555.18,Cərimə,Ödənilib
404,1339,2024-12-25,489.35,Faiz,Ödənilib
405,2661,2024-10-29,102.04,Faiz,Qismən Ödənilib
406,2646,2025-10-13,550.2,Əsas borc,Qismən Ödənilib
407,2748,2025-10-20,690.57,Faiz,Gecikib
408,2840,2025-04-09,558.64,Faiz,Gecikib
409,1528,2025-10-08,1491.93,Cərimə,Gecikib
410,1506,2025-10-12,117.42,Əsas borc,Ödənilib
411,1658,2024-01-01,778.65,Əsas borc,Qismən Ödənilib
412,2398,2025-09-24,1039.25,Faiz,Gecikib
413,20,2023-11-24,1942.26,Əsas borc,Qismən Ödənilib
414,475,2024-03-30,392.15,Faiz,Qismən Ödənilib
415,2600,2025-05-16,432.12,Faiz,Gecikib
416,2331,2024-06-10,169.03,Əsas borc,Gecikib
417,810,2025-05-14,1503.89,Faiz,Qismən Ödənilib
418,999,2025-07-15,925.38,Cərimə,Qismən Ödənilib
419,2832,2025-10-05,544.68,Cərimə,Ödənilib
420,1072,2025-09-26,703.33,Cərimə,Gecikib
421,2217,2025-10-09,511.89,Faiz,Qismən Ödənilib
422,788,2025-10-19,226.59,Əsas borc,Gecikib
423,1754,2024-10-06,716.9,Əsas borc,Qismən Ödənilib
424,2364,2023-05-15,115.24,Cərimə,Ödənilib
425,1485,2025-10-10,1946.3,Faiz,Ödənilib
426,2066,2025-02-27,485.51,Əsas borc,Qismən Ödənilib
427,2058,2024-12-01,425.8,Faiz,Ödənilib
428,650,2025-06-26,112.72,Əsas borc,Qismən Ödənilib
429,2382,2025-10-20,1457.96,Faiz,Gecikib
430,2391,2025-09-15,103.85,Əsas borc,Ödənilib
431,1909,2025-03-05,1342.53,Faiz,Qismən Ödənilib
432,2307,2025-09-11,1898.95,Əsas borc,Ödənilib
433,2222,2023-08-02,339.74,Əsas borc,Qismən Ödənilib
434,562,2025-08-01,683.54,Əsas borc,Qismən Ödənilib
435,2254,2025-07-08,1471.96,Faiz,Qismən Ödənilib
436,671,2025-03-17,865.32,Cərimə,Qismən Ödənilib
437,941,2024-12-15,908.25,Faiz,Gecikib
438,2857,2025-08-26,441.1,Faiz,Ödənilib
439,1695,2025-07-20,138.51,Əsas borc,Qismən Ödənilib
440,264,2025-03-07,850.46,Cərimə,Qismən Ödənilib
441,1834,2025-10-05,1498.2,Cərimə,Qismən Ödənilib
442,461,2025-07-29,454.38,Cərimə,Ödənilib
443,1984,2024-05-03,700.2,Cərimə,Gecikib
444,2420,2025-10-07,549.32,Faiz,Ödənilib
445,1867,2025-10-17,210.33,Əsas borc,Qismən Ödənilib
446,2189,2024-11-20,582.14,Faiz,Gecikib
447,2101,2025-04-02,684.51,Əsas borc,Ödənilib
448,1988,2024-10-14,341.8,Əsas borc,Ödənilib
449,2478,2024-11-09,152.68,Əsas borc,Qismən Ödənilib
450,442,2025-08-06,1556.45,Əsas borc,Qismən Ödənilib
451,277,2023-06-29,536.18,Faiz,Qismən Ödənilib
452,717,2025-02-26,556.04,Cərimə,Qismən Ödənilib
453,854,2025-05-05,57.45,Əsas borc,Ödənilib
454,319,2024-08-13,361.86,Faiz,Ödənilib
455,254,2023-03-08,83.63,Faiz,Gecikib
456,1228,2025-02-19,359.06,Cərimə,Gecikib
457,2276,2024-11-22,1226.85,Əsas borc,Gecikib
458,1335,2025-10-12,486.27,Əsas borc,Gecikib
459,277,2024-02-24,1240.17,Əsas borc,Qismən Ödənilib
460,1660,2024-08-28,639.57,Əsas borc,Ödənilib
461,543,2025-09-16,221.78,Cərimə,Gecikib
462,2488,2023-09-03,533.55,Əsas borc,Qismən Ödənilib
463,2544,2025-03-09,135.64,Cərimə,Qismən Ödənilib
464,1777,2025-03-23,721.57,Əsas borc,Qismən Ödənilib
465,2541,2024-09-27,954.19,Cərimə,Ödənilib
466,2773,2023-05-13,1251.5,Əsas borc,Qismən Ödənilib
467,1205,2025-04-30,882.91,Əsas borc,Qismən Ödənilib
